,Case1,Case2,Case3,Case4,Case5,Case6,Case7,Case8,Case9,Case10,Case11,Case12,Case13,Case14,Case15,Case16,Case17,Case18,Case19,Case20,Case21,Case22,Case23,Case24,Case25,Case26,Case27,Case28,Case29,Case30,Case31,Case32,Case33,Case34,Case35,Case36,Case37,Case38,Case39,Case40,Case41,Case42,Case43,Case44,Case45,Case46,Case47,Case48,Case49,Case50,Case51,Case52,Case53,Case54,Case55,Case56,Case57,Case58,Case59,Case60,Case61,Case62,Case63,Case64,Case65,Case66,Case67,Case68,Case69,Case70,Case71,Case72,Case73,Case74,Case75,Case76,Case77,Case78,Case79,Case80,Case81,Case82,Case83,Case84,Case85,Case86,Case87,Case88,Case89,Case90,Case91,Case92,Case93,Case94,Case95,Case96,Case97,Case98,Case99,Case100,Case101,Case102,Case103,Case104,Case105,Case106,Case107,Case108,Case109,Case110,Case111,Case112,Case113,Case114,Case115,Case116,Case117,Case118,Case119,Case120,Case121
RNF113A,21.19567031,21.50865784,20.08071608,0,0,0,0,0,0,12.09546283,13.39873461,14.7244318,13.15062985,12.46918988,0,0,0,0,0,0,0,12.80090165,0,13.3634757,0,0,0,12.66956595,0,0,13.9930184,14.99297415,0,14.36985236,0,0,0,11.97843971,11.96232635,11.8497998,12.0287385,12.64835879,13.19142595,0,13.18430931,0,12.62520887,0,12.16682671,0,11.94839847,11.59414695,0,12.05337273,0,12.47786364,11.32386649,12.68120558,11.66433337,13.17864117,11.99121298,0,0,0,0,0,0,0,12.07426422,12.58498387,0,0,0,11.8237715,0,12.06574052,0,0,11.7539988,11.5810087,12.03629817,0,11.29945481,11.58709371,12.63989758,0,12.11291916,11.70125849,0,0,12.30919517,12.4350073,0,0,0,12.1694001,11.58350201,0,0,0,11.62575838,12.62312264,11.27822343,0,13.50762696,11.68309547,0,0,14.0859012,0,0,0,15.07003038,0,0,11.64467276,11.67360089,11.71759774,0,13.00364638,11.36348458
S100A13,19.72600468,18.65729211,18.97033908,11.88335601,12.07753266,12.99127946,0,0,11.87450799,12.17971304,0,14.80869769,0,0,14.76864995,13.98573382,12.74194722,0,13.06745143,0,0,0,0,13.44773685,0,0,0,0,0,0,14.07728229,13.07736575,13.08401336,0,0,0,0,0,13.04640422,14.51870176,0,12.73261496,11.69101454,11.88553117,11.6838993,0,0,0,0,12.1648852,12.03264667,0,12.72740214,13.13746229,0,11.56235675,0,0,11.74857707,11.67823227,0,11.88208868,0,12.03747598,12.37907236,13.39099362,0,0,0,12.66923947,0,11.95483246,0,13.49273004,0,13.14983161,12.64876973,0,11.83824402,0,12.7054021,0,0,0,0,0,0,11.78550282,13.17940924,0,12.39344796,0,0,12.84121076,13.12455555,0,11.66774425,0,11.81180464,0,11.71000139,11.70759427,12.94705655,13.09069175,12.00716002,0,0,0,0,0,0,14.68604207,13.1544156,0,11.98153424,11.72891611,0,0,13.1461314,0,0
AP3D1,11.53021695,12.98830035,10.83758668,10.24248039,0,0,0,0,0,0,10.84197105,12.16727602,0,10.49748007,17.58635212,11.92929226,11.1007086,11.39840352,0,0,11.09121611,0,0,14.26542751,0,13.69269965,11.68118847,13.57147846,21.21266425,11.24969322,18.28100832,0,0,0,10.41028298,0,13.19304485,0,0,9.294292347,19.31646927,0,0,0,11.3642511,16.14337431,19.67489636,10.3344175,13.6092122,0,0,0,21.18912056,0,0,9.92168278,0,10.12486238,12.10679977,20.03046167,0,18.42737748,0,10.98112405,21.99037334,10.75001218,0,0,9.518481899,17.12010014,0,9.315050666,9.246386518,19.75881353,0,0,15.73480688,0,14.48163014,0,18.6497188,9.698297221,0,9.03196718,0,9.624785024,0,10.72922162,0,11.16141082,10.75233131,9.878863669,18.62169446,19.62559559,0,0,10.61150059,10.5694759,20.9958701,13.76070785,13.0680536,9.068167988,0,13.44897029,14.95013249,0,0,19.85396262,20.25462137,0,0,15.13180528,19.18853171,0,0,0,0,0,14.63362693,19.87092215,18.00765005
ATP6V1G1,0,14.12675026,15.31324997,19.79299515,0,19.96976483,16.12001665,13.99711671,0,0,12.51049365,17.64338582,12.26241022,0,17.49642222,0,0,0,0,0,11.76003222,0,12.97632436,18.08969918,18.82054037,18.53158103,0,19.74677578,12.99925835,0,0,13.68964696,18.13359647,18.38832437,0,18.18960123,0,20.34947185,20.96691235,18.95541051,20.70609342,0,0,20.35754217,19.45567301,0,0,0,0,19.37682489,0,0,0,18.59094703,20.86408243,20.34748036,18.98184618,18.82605737,0,10.70603233,19.17932194,0,0,19.18345268,0,20.36075132,19.58346404,0,0,19.09727641,0,0,0,0,19.32522692,0,0,19.26345174,18.46514322,0,11.14823581,0,0,19.0156854,0,0,0,0,0,10.83063475,0,0,20.23116479,19.15379528,19.28105572,20.46560856,19.59554581,19.81501812,0,0,0,19.00600506,19.66541392,18.93168687,0,20.1628097,10.79110987,12.24952334,18.82682331,0,0,0,0,0,0,0,0,20.58035964,18.13913797,0,0
UBQLN4,15.35636628,19.62208231,0,0,0,13.17617586,0,0,0,0,0,0,0,12.73833321,0,15.17060172,12.9268396,13.2246225,0,13.25070313,12.91734399,13.07005387,0,0,15.85708744,13.93432315,0,12.9387149,0,0,0,0,0,0,0,0,0,12.24756549,13.23130142,0,12.29786636,11.91769364,12.87568782,13.07023528,15.32784514,0,14.4791928,0,0,0,0,0,11.9124814,12.32250159,0,0,0,0,0,13.44780132,0,0,0,12.22235241,0,0,0,12.02311433,0,11.85432537,12.92864756,0,0,0,13.35705957,0,0,0,12.02311433,14.6571351,12.89029383,0,0,0,0,12.4498172,12.38205035,0,0,12.98756126,0,0,0,13.02610482,14.30938277,0,11.85260862,13.98018078,12.99649755,0,11.8948673,11.8924601,0,14.27551682,13.1918814,11.95220742,11.94820187,0,15.6769605,0,0,0,13.33931428,13.72788645,0,0,13.5274305,11.98671146,0,0,0
TPPP3,12.76747191,0,0,0,0,11.58742199,16.85840791,17.83852751,0,0,13.0788875,18.21185791,18.15252397,13.14921398,17.82388692,20.32296379,17.19557802,15.44279218,18.68550541,19.38941076,16.41556993,16.48083497,16.93694863,18.32886514,18.82871429,18.15252397,16.825188,19.02189228,18.2680008,19.77204035,18.69542086,17.06537759,18.20326476,16.75035675,17.8166896,16.21060202,19.09339429,11.65864819,11.64253582,0,12.70872844,11.32881477,0,11.48150526,0,15.42672673,15.76455776,0,12.84682851,0,0,11.27438251,0,0,12.04272908,11.15836179,13.003599,16.53104587,0,0,11.67142067,0,11.12596754,0,0,0,0,0,0,0,13.3395348,0,12.48179732,0,13.50494487,13.74562872,13.5664429,13.38911481,13.43383115,0,0,0,0,0,11.32035554,0,0,0,0,11.39885111,0,0,13.009736,0,0,0,13.2632983,12.80626354,0,0,0,11.30358455,13.27983532,12.68659603,0,0,13.94382389,19.49012871,0,0,17.47365108,13.28198301,16.99804671,18.46064531,0,12.32462312,0,0,14.06383541,0,11.04374022
TSSC4,0,0,22.37481584,0,11.07786641,0,0,0,18.03400042,0,0,0,0,0,0,0,10.74257889,0,0,14.23563718,17.44649336,0,0,0,0,0,0,12.33885443,14.55672806,0,0,0,12.66903124,0,15.51037006,0,0,16.10676563,0,0,0,0,0,0,0,0,0,11.97534311,14.57276914,0,0,16.07028753,0,15.94467998,10.44756975,10.56283371,0,0,0,15.70018689,0,0,0,18.21206318,10.37988463,0,11.56787638,0,11.15882969,14.31294504,18.83101073,0,0,17.21143263,13.75707106,0,0,0,9.839425565,0,0,0,0,0,0,16.78821629,0,17.79632768,0,9.804080613,18.25737054,0,0,16.6990087,14.44638671,0,0,0,16.59277759,0,0,0,11.94723923,19.01534159,18.38619208,16.14198496,19.73014693,17.0547512,0,17.34444364,15.6021869,17.69722139,18.8053122,18.36304564,15.47306225,9.730190638,16.73472125,14.44535908,18.10597929,15.3607924,17.25456999
FOS,16.48974669,21.27497727,0,13.03153823,0,13.13965398,13.2411608,14.53314223,12.02286228,0,14.63131862,0,0,0,0,17.94139738,12.89031847,13.18810048,14.21575102,0,0,13.03353229,0,0,0,17.80460201,0,13.9020995,15.70508705,14.03926324,13.22574128,0,15.55419712,0,0,13.06285291,0,0,13.19477939,0,12.26134783,0,14.16097683,12.03388574,13.41694698,15.56422728,12.85783561,12.12369993,12.39944074,13.31310458,0,0,12.87577319,0,12.5951613,11.71070196,0,12.91383362,0,12.82638247,12.22382095,13.03027071,13.67797296,12.18583427,12.52743773,15.53928144,0,13.57132282,12.30687515,0,0,0,0,0,12.73564523,0,14.11894608,0,0,11.81359931,11.26920007,11.48713918,0,0,11.87271704,0,12.34553141,11.93385471,12.74289354,0,12.54181359,0,0,12.98958338,12.27307735,12.40201421,0,12.35887781,12.9599762,0,0,0,13.09543053,0,13.15535948,12.91550416,0,0,14.3185496,0,0,0,0,14.69130877,0,0,11.90619587,11.9501947,12.29465127,12.65139322,12.59583075
ERBB3,17.70885503,18.11590021,19.78530597,0,0,0,0,13.46281984,11.95249028,12.25769919,0,0,15.31277806,11.6316616,16.16854846,13.0638159,13.81983888,0,0,0,0,0,14.61179152,0,13.42835071,14.82736541,0,0,14.04979328,14.5538107,0,13.15535948,14.16192842,0,0,12.99247201,0,0,0,0,12.1909732,11.81080712,0,0,0,16.49382381,15.10922084,12.05332676,0,0,0,11.75636874,11.80559499,0,0,0,11.48607804,15.84328187,0,11.75621162,12.15344671,11.96007107,0,0,0,15.05386673,13.64551617,0,12.23650006,13.33212288,11.82194585,0,0,11.98600059,12.66526648,12.22797614,0,12.28645834,11.91622579,11.74323003,12.19853306,0,0,11.74931526,11.80234695,12.34292183,0,0,0,0,0,0,0,12.91920292,12.20270259,0,0,12.28850221,0,0,13.37267173,0,0,0,12.08514408,12.84512417,11.84131475,0,16.24810819,16.04741935,0,14.34902149,0,14.62092217,12.05951797,11.80689625,11.83582533,11.8798236,0,12.58101511,12.52545308
CHRAC1,16.05679277,12.23006343,11.77928861,0,0,0,0,0,18.6941583,0,13.3683638,0,11.53562109,0,0,0,0,12.92509699,0,0,15.5562266,11.18598268,0,14.07001464,14.97258522,0,0,0,15.44205804,12.19148911,12.37786485,14.54757901,0,13.33954975,0,0,0,10.36384124,0,0,0,11.03348635,10.99168176,0,10.98456786,14.45323051,11.01034392,11.27596162,12.13645974,0,13.33283706,0,0,0,10.74777048,11.44775364,11.29350481,13.38771246,0,0,11.96084687,10.18334262,0,16.14490251,0,0,0,0,0,9.970851248,11.6293577,10.25604418,0,0,0,0,0,0,10.13952446,0,0,14.72615569,10.68442309,12.29350406,0,0,10.49825505,16.95586508,0,10.10417217,10.6944456,0,0,11.14204761,10.42583809,0,12.2899119,11.51110061,11.11244998,0,0,0,11.98459042,11.39145843,13.76673956,16.15480312,12.38551169,19.40489065,11.4709904,12.27008259,15.4620122,15.84438779,16.77659323,12.84345364,18.06948017,0,10.05917593,11.10248943,12.76850205,10.80397924,12.74781054
